file,reference,entity,dg_transcript,dg_wer,dg_mer,dg_wil,dg_ne_wer,dg_jaro,dg_erun,dg_hallucination,dg_latency,sv_transcript,sv_wer,sv_mer,sv_wil,sv_ne_wer,sv_jaro,sv_erun,sv_hallucination,sv_latency,ws_transcript,ws_wer,ws_mer,ws_wil,ws_ne_wer,ws_jaro,ws_erun,ws_hallucination,ws_latency
koramangala,bhai koramangala mein ek bahut accha cafe hai wahan chalte hain,koramangala,bhai koramamgala mem eka bahuta achcha cafe hai vaham chalate haim,0.7273,0.7273,0.9256,1.0,0.9636,True,False,0.91,"bhai koramamgala mem eka bahuta achcha kaiphe hai, vaha.n chalate haim|",0.9091,0.9091,0.9917,1.0,0.9636,True,True,2.1,bai kora mamgala mem eka bauta ichcha kaphe vaha.n chalate haim,1.0,1.0,1.0,1.0,0.8727,True,True,
indiranagar,hi bro i am near the indiranagar metro where are you,indiranagar,hypro i am near the imdira nagara metro where are you,0.3636,0.3333,0.4711,1.0,0.7864,False,False,0.65,"haya bro, ai ema niyara da imdiranagara metro, veyara ara yu?",1.0,1.0,1.0,1.0,0.8627,True,True,2.08,hai bruivaim imdranagara metro vera ai yu?,0.9091,0.9091,0.987,1.0,0.8242,True,True,
whitefield,bhai mera naya office whitefield mein hai,whitefield,bhai mera naya office white field mem hai,0.4286,0.375,0.5536,1.0,0.9,True,False,0.46,bhai mera naya ऑphisa vaita philda mem hai|,0.7143,0.625,0.8393,1.0,0.5667,False,False,1.99,bai mera naya aphisa vaita philada mem haim,0.8571,0.75,0.9286,1.0,0.5762,False,False,
electronic_city,whats the rent for a 2bhk in electronic city,electronic city,was the rent for two bhk in electronic city,0.3333,0.3333,0.5556,0.0,1.0,True,False,0.51,vhatsa da remta phaॉra a tu biechake ina ilektraॉnika siti?,1.0,0.9,0.9889,1.0,0.5889,False,False,2.43,vajta remta phara achtaijavai illektronika siti?,1.0,1.0,1.0,1.0,0.6074,False,True,
marathahalli,bhai main marathahalli bus station pe hoon,marathahalli,bhai maim mara thamdi basa station para hum,0.8571,0.75,0.9286,1.0,0.8667,True,False,0.55,bhai maim maratha halli basa steshana pe hu.n|,0.8571,0.75,0.9286,1.0,0.9167,True,False,2.06,bai maim maratha hali barsteshana pe hu.n,0.8571,0.8571,0.9796,1.0,0.9167,True,False,
jayanagar,bhai jayanagar mein ek park bahut bada hai wahan pe ghoomne chalte hain,jayanagar,bhai jayanagara mem eka park bahuta ba.da hai vaham para ghumane chalate haim aja se,0.9231,0.8,0.9538,1.0,0.98,True,False,0.61,"bhai, jayanagara mem eka parka bahuta ba.da hai, vaham pe ghumane chalate haim aja|",1.0,0.9286,0.9945,1.0,0.98,True,True,2.33,bai jaiyanagara mem eka parba ba.dha yaha vape gumane chalate hai aja.,1.0,1.0,1.0,1.0,0.9515,True,True,
rajajinagar,rajajinagar mein ek theatre hai chal wahan pe picture dekhne chalte hain,rajajinagar,hello rajasva nagara mem eka theater hai chala vaham para picture dekhani,1.0,0.8571,0.9722,1.0,0.8338,True,False,0.67,"helo, rajeji nagara mem eka thietara hai, chala vaham para pikchara dekhane chahate haim|",1.1667,1.0,1.0,1.0,0.8338,True,True,2.28,razejinagara mem eka thetara hai chala vapa pe pitchara dekhane shathe haim|,0.8333,0.8333,0.9722,1.0,0.8513,True,False,
hebbal,bro i shifted to hebbal last month,hebbal,bro i shifted to herbell last month,0.1429,0.1429,0.2653,1.0,0.7968,False,False,1.37,"bro, ai shiphteda tu hebala lasta mamtha|",1.0,1.0,1.0,1.0,0.9222,True,True,2.02,"bro, i shifted to hey bear last month",0.4286,0.375,0.5536,1.0,0.6667,False,False,
yelahanka,main yelahanka mein rehta hoon bahut door hai tere yahan se,yelahanka,maim yaha lamka mem rahata hum bahuta dura hai tere yaham se,0.8182,0.75,0.9318,1.0,0.8333,True,False,0.56,"maim yelamka mem rahata hu.n, bahuta dura hai tere yaha.n se|",0.8182,0.8182,0.9669,1.0,0.8714,True,False,2.36,maim yalamka mem rahata hu.n bahuta dure tare aputa|,1.0,1.0,1.0,1.0,0.8071,True,True,
banashankari,banashankari mein ek south indian restaurant hai wahan pe chalte hain,banashankari,banshamkari mem eka south indian restaurant hai vaham para chalate haim,0.6364,0.6364,0.8678,1.0,0.8932,True,False,0.76,"baina shamkari mem eka sautha imdiyana restoremta hai, vaham para chalate haim|",1.0909,1.0,1.0,1.0,0.7689,False,True,2.3,banshtremktari mem eka saudimdina rastraॉnta eka vape chalate hum|,1.0,1.0,1.0,1.0,0.8324,True,True,
hsr_layout,hsr layout se silk board jaane wali bus kaunsi hai,hsr layout,echaesar layout se silk road jane vali bus kauna si hai,0.6,0.5455,0.7727,0.5,0.8222,True,False,0.67,echaesaara leauta se silka roda jane vali basa kauna si hai?,1.0,0.9091,0.9909,1.0,0.6735,False,False,2.35,achchasara leauta se silka roda jane vali baॉsa kona si haim?,1.0,0.9091,0.9909,1.0,0.6333,False,False,
btm_layout,btm layout mein ek park hai wahan pe milte hain shaam ko,btm layout,bmt layout mem eka park hai vaham para milate haim shama ko,0.6667,0.6667,0.8889,0.5,0.97,True,False,1.94,"biemati leauta mem eka parka hai, vaha.n para milate haim shama ko|",1.0,1.0,1.0,1.0,0.7364,False,True,2.14,bimti leyauta mem eka para ke vaha pe milate haim shampa ke lee,1.0,0.9231,0.9936,1.0,0.811,True,True,
silk_board,silk board pe bahut traffic hai,silk board,silk board para bahuta traffic hai,0.3333,0.3333,0.5556,0.0,1.0,True,False,2.7,silka borda pe bahuta traiphika hai|,0.8333,0.8333,0.9722,1.0,0.9418,True,False,2.02,shilka borda pe bhurda traphika haim,0.8333,0.8333,0.9722,1.0,0.89,True,False,
bellandur,i saw a flat in bellandur the rent is eighteen thousand,bellandur,i saw a flat in belura the rent is eighteen thousand,0.0909,0.0909,0.1736,1.0,0.7926,False,False,1.24,"ai saॉ phlaita ina belendura, da remta ija ₹18000|",1.0,1.0,1.0,1.0,0.8691,True,True,2.41,gapamne yo phaleri .nmtina 很icalled ekalebrichina islam,1.0,1.0,1.0,1.0,0.5886,False,True,
sarjapur,theres a good biryani place on sarjapur road,sarjapur,there's a good birayani place on sarajapura road,0.375,0.375,0.6094,1.0,0.9242,True,False,0.54,deyara ija a guda birayani plesa ऑna sarajapura roda|,1.0,0.8889,0.9861,1.0,0.9242,True,False,2.1,yaha apako biryani plesa para sharjapura rola rahe hai|,1.125,1.0,1.0,1.0,0.94,True,False,
kr_puram,i am at the kr puram station,kr puram,i am at the care purama station,0.2857,0.2857,0.4898,1.0,0.8371,True,False,0.63,ai ema eta da ke ara purama steshana|,1.1429,1.0,1.0,1.0,0.7631,False,True,2.05,apane kara puramshteshana ke lie pavara|,1.0,1.0,1.0,1.0,0.682,False,True,
